【うき】　 メルマガPR 管理表,,,,,,,,
▼ルール▼,,,,,,,,
・PRを挿入するメルマガには、スケジュールの枠に「PR＊（PR IDを入れ下さい）（期限まで/のみ）」を入力する　※PRを削除する週は「PR＊（PR IDを入れ下さい）削除」を入力する,,,,,,,,
・PRが終了したら、グレーにする,,,,,　,,,
・新着メルマガPRも管理表に入れる,,,,,,,,
※リストに記載が無い場合、把握漏れの可能性があります。ご連絡下さい。（2018/1/23荒木）,,,,,,,,
PR ID,名称,PRが入るメルマガ,PR文面,開始予定日,終了予定日,終了,備考,
159,"IT・Web大特集（経験）
販売サービス大特集","（火金12）新着総合
（火金13）新着総合
（月12）納品対策","┏━━.+゜☆+.期間限定特集━━━┓

◆スキルアップしながら長く働く！
エンジニア経験者のためのIT・Web業界大特集
https://woman-type.jp/s/itweb/?waad=4frWJiXC

◆実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?waad=fjHIdBUn

┗━━━━━━━━ .+゜☆+. ━━┛",2024/7/2(Tue),2024/7/29(Mon),終了,リード文の下にいれる,
160,"介護大特集
関西大特集","（火金12）新着総合
（火金13）新着総合　※12時台に集約されています。
（月12）納品対策","
┏━━━★期間限定特集★━━━━┓

◆手に職つけて社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?waad=fb5rf2VK

◆大阪エリアで働きたい人のための関西大特集◆
https://woman-type.jp/s/kansai/?waad=PtjnBstP

┗━━━━━━━━━━━━━━━┛",2024/7/30(Tue),2024/9/9(Mon),終了,リード文の下にいれる,
161,ET差し込み,"（火18）エンジニア_経験_首都圏版
（火18）エンジニア_未経験_首都圏版
（火18）スカウトリマインド
（火21）WEB面接・コロナ対策","┏━━━━━━━★姉妹サイトエンジニアtypeの注目コンテンツ★━━━━━━━━┓

エンジニアの方はもちろん、そうでない方にも、
仕事やキャリアの参考にしていただけそうな記事をピックアップしました♪

 ★着想は「起動しないPepper」LOVOT開発者・林要が説くテクノロジーと幸せの関係性
https://type.jp/et/feature/23728/
 ★ひろゆき「失敗する」宣言！話題のSNS『DYSTOPIA』開発者と対談【連載：僕ならこう作るね】
https://type.jp/et/feature/23611/
★良かれと思ってやったのに…元Google人事が説く、日本の管理職がやりがちなエンジニアの心理的安全性を下げるNG行動四つ
https://type.jp/et/feature/22419/
★発行部数16万部突破！『「静かな人」の戦略書』著者ジル・チャンさんに聞いた、リーダー業務が苦手な人が「内向的資質」を武器にする思考法
https://type.jp/et/feature/21887/

┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛
",10/31(Tue)2023,10/31(Tue)2023,終了,リード文の下にいれる,
162,WT差し込み,"（火8）関西_自己PR不要_リモート未経験_事務
（火10）カスタマーサクセス_リモート 
（火20）引っ越し特典","┏━━━━━━━★姉妹サイトWoman typeの注目コンテンツ★━━━━━━━━┓

▼働く女性にも参考になる！有名人たちの仕事論
・津田健次郎「僕にとって立ち止まることは恐怖」いい芝居を追求するために捨てる、経験への甘え
https://woman-type.jp/wt/feature/32524/
・【大木亜希子✕深川麻衣】作家・俳優に転身した二人が“元アイドル”のレッテルから解放されるまで
https://woman-type.jp/wt/feature/32616/

▼転職お役立ちコンテンツ♪
・  カジュアル面談は「選考ではない」って言うけれど……？ 採用担当者が転職者に抱く、葛藤と願望
https://woman-type.jp/wt/feature/32576/
・女性は年齢を重ねても年収が上がらない？ 人生100年時代、自分らしく稼ぎ続けるためにできる3つのこと
https://woman-type.jp/wt/feature/32542

┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛
",10/31(Tue)2023,10/31(Tue)2023,終了,リード文の下にいれる,
161,志向別大特集,"（火金12）新着総合
（火金13）新着総合　※12時台に集約されています。
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆「“理想の働き方”から長く働ける職場を見つける！」大特集◆
https://woman-type.jp/s/careertype/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_1

┗━━━━━━━━━━━━━━━┛",2024/9/10(Tue),2024/10/7(Mon),終了,リード文の下にいれる,
162,WT差し込み,"(火18)スカウトリマインド　※月末増発
(水10)新生活応援_複数_未経験_事務　※月末増発
(水21)年収UP
(木15)レコメンドリマインド　※月末増発
(木19)フルリモート×未経験歓迎_過去会員　※月末増発","┏━━━━━━━★姉妹サイトWoman typeの注目コンテンツ★━━━━━━━━┓

▼転職お役立ちコンテンツ♪
・リーマン後最大級の売り手市場で「女性の転職」に追い風？ このチャンスを生かす4つの行動
https://woman-type.jp/wt/feature/32791/
・採用人事が転職者に伝授する、年収交渉のコツ「高い年収額で入社するリスクもある」
https://woman-type.jp/wt/feature/32721/
・転職者のSNSチェックする？ 人事が明かす、リファレンスチェックの本当の狙い
https://woman-type.jp/wt/feature/32677/
・今やりたいこと、いずれ挑戦したいこと、どちらを選んだらいい？ キャリアアドバイザーが明かす、30代以降の選択肢を広げる行動
https://woman-type.jp/wt/feature/32650/
┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛",11/28(Tue),11/30(Thu),終了,リード文の下にいれる,
162,エンジニア入社プレゼントキャンペーン,"（火金12）新着総合
（火金13）新着総合
（月12）納品対策
（月19）超好条件_エンジニア
（木8）年収500万以上_未経験歓迎
~~開始・終了時の手動設定⇔RPAに注意~~
（火19）フルリモート_全国_エンジニア
（水12）自己PR不要_リモート未経験_エンジニア
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

【Amazonギフトカード10,000円分プレゼント！】
女の転職typeに掲載中の「ITエンジニア系」求人に
入社決定＆エントリーで、Amazonギフトカードをプレゼント！

▼詳しくはこちら
https://epfb.f.msgs.jp/n/form/epfb/FzsRepky7rHM7XmmnHuFd?waad=LGbT0rkJ

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛",2024/3/25(Mon),2024/4/30(Tue),終了,"リード文の下にいれる
フェアの次でよいです",
163,エンジニア専門サイトPR,"ランキング_エンジニア（IT系）_希望
エンジニア_未経験_首都圏版
エンジニア_未経験_35歳以上_首都圏版
事務（経理）_希望
未経験_研修・資格_エンジニア系_首都圏","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

～未経験からでも大丈夫◎　目指せ手に職！ITエンジニア～
ITエンジニア求人を様々な検索方法で探せる！

＼エンジニア専門サイトはこちら／
http://woman.type.jp/s/engineer/?waad=GjG9MSYz

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛",2024/3/25(Mon),24/7/21(土),終了,コメントで依頼しているので、スケジュールへの反映は不要です,"☆エンジニア_未経験_首都圏版
☆エンジニア_未経験_35歳以上_首都圏版
未経験_研修・資格_エンジニア系_首都圏
はPR165に差し替え
ランキング_エンジニア（IT系）_希望
はPR167に差し替え
事務（経理）_希望は差し込み終了"
164,ウキフェア,"（火金12）新着総合
（火金13）新着総合
（水8）★求人特集(35歳未満) A
（日9）応募ランキング C　※フェア終了後RPA戻し
（月12）納品対策

","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

7/27(土)12:00～18:00
東京国際フォーラムにて女性のための転職イベント開催！
最大2,000円分のQUOカード他をプレゼント！
https://woman-type.jp/s/event/?utm_source=woman-type&utm_medium=email&utm_campaign=inner_wr_boss_pr_240727&waad=TRR2CPXt

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",24/6/12(水),24/7/26(金),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
165,"エンジニア専門サイトPR
未経験者(経験職種無・未経験OK)","火18時 ☆エンジニア_未経験_首都圏版
火18時 ☆エンジニア_未経験_35歳以上_首都圏版
木19時 未経験エンジニア希望向け_首都圏
水19時 未経験_研修・資格_エンジニア系_首都圏
水12時 自己PR不要_リモート未経験_エンジニア
火11時 事務（経理）_希望","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

～未経験からでも大丈夫◎　目指せ手に職！ITエンジニア～
ITエンジニア求人を様々な検索方法で探せる！

＼エンジニア専門サイトはこちら／
http://woman.type.jp/s/engineer/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_11

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛","24/7/22(月)
18時配信~",ずっと,,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする
※今後新しくPRを差し込むときは下になってしまっても問題ないです",
166,"エンジニア専門サイトPR
(経験者※経験職種有)","日19時 上場_エンジニア経験
火18時 ☆エンジニア_経験_首都圏版
火18時 ☆エンジニア_経験_35歳以上_首都圏版","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

～エンジニア経験者必見◎今後のキャリアのヒントに！～
こだわりの働き方や会社の特徴などから簡単に求人が探せる！

＼エンジニア専門サイトはこちら／
https://woman-type.jp/s/itengineer/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_12

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛","24/7/22(月)
18時配信~",ずっと,,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする
※今後新しくPRを差し込むときは下になってしまっても問題ないです",
167,"エンジニア専門サイトPR
(希望職種のみ)","月19時 超好条件_エンジニア
火19時 フルリモート_全国_エンジニア
水9時 ランキング_エンジニア（IT系）_希望","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

～エンジニア必見◎今後のキャリアのヒントに！～
こだわりの働き方や会社の特徴などから簡単に求人が探せる！

＼エンジニアを目指す！未経験者専門サイトはこちら／
http://woman.type.jp/s/engineer/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_11

＼経験を活かして活躍！経験者専門サイトはこちら／
https://woman-type.jp/s/itengineer/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_12

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛","24/7/22(月)
18時配信~",ずっと,,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする
※今後新しくPRを差し込むときは下になってしまっても問題ないです",
168,営業・企画職専門サイトPR,"日曜21時 検討中ランキング_営業
→隔週配信","┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

営業・企画職の新しい働き方を見つけよう。

▼営業・企画職の専門サイト
https://woman-type.jp/sales/?waad=3Qc98CpN

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛","24/8/4(日)
21時配信~",2024/09/22（日）,終了,"リード文の下に入れる
※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
169,ウキフェア,"（火金12）新着総合
（水8）★求人特集(35歳未満) A
（日9）応募ランキング C　※フェア終了後RPA戻し
（月12）納品対策

","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

10/19(土)12:00～18:00
渋谷ヒカリエにて女性のための転職イベント開催！
最大1,500円分のQUOカード他をプレゼント！
https://woman-type.jp/s/event/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_241019

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",24/9/4(水),24/10/18(金),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
170,D-typeアプリインストール,"☆エンジニア_経験_首都圏版
☆エンジニア_経験_35歳以上_首都圏版","★Direct typeで転職が決まった方に
【Amazonギフト券 1万円分】プレゼント！★
ITエンジニアのためのスカウト型転職サービス【 Direct type 】
↓こちらよりご登録ください↓
https://bit.ly/ITP2311
・‥…━━━━━━━━━━━━━━…‥・

Direct type（ダイレクトタイプ）https://directtype.jp は
ITエンジニア専用のスカウト型転職サービスです。
登録後は待つだけ。
企業から直接アプローチが来るため、スキマ時間を活用して
効率的に転職活動を進めることができます。
・IT求人、常時1600職種以上
・ITエンジニアスカウト100％なのでマッチしたスカウトが届きます
・職種から言語、CI/CDツールまで、ITエンジニア向の登録項目が充実
　自分の経験と希望を詳細に登録できるので、高精度のマッチングが実現できる！

▼ アプリ版※iOS限定【 Direct type 】のDLはこちらから
https://apps.apple.com/us/app/id1525688066

・‥…━━━━━━━━━━━━━━…‥・
",2024/9/17,2024/9/30,終了,"既存PRの下に入れる
担当：田村さん",
171,"IT・Web（経験）大特集
販売サービス大特集","（火金12）新着総合
（火金13）新着総合　※12時台に集約されています。
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集◆
https://woman-type.jp/s/itweb/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_2

◆未経験でもチャレンジ可　実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_3

┗━━━━━━━━━━━━━━━┛",2024/10/8(Tue),2024/11/4(Mon),終了,リード文の下にいれる,
172,ウキフェア大阪,"（火金12）新着総合_関西
（木14）関西‗リモート×フレックス
（月19）関西‗超好条件_事務
（月14）☆関西","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

12/14(土)12:00～18:00
グランフロント大阪にて女性のための転職イベント開催！
最大1,500円分のQUOカード他をプレゼント！
https://woman-type.jp/s/event/osaka/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_241214

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛
",2024/10/28(Mon),2024/12/14(Sat),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
173,営業大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

オンもオフも輝ける！営業大特集
https://woman-type.jp/s/salessp/?utm_source=inside&utm_medium=direct&utm_campaign=cmp22

┗━━━━━━━━━━━━━━━┛",2024/11/5(Tue),2024/12/2(Mon),終了,リード文の下にいれる,
174,関西大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

仕事もプライベートも充実！大阪エリアで働きたい人のための関西大特集
https://woman-type.jp/s/kansai/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_5

┗━━━━━━━━━━━━━━━┛",2024/12/3(Tue),2025/1/6(Mon),終了,リード文の下にいれる,
175,ウキフェア,"（火金12）新着総合
（水8）★求人特集(35歳未満) A
（日9）応募ランキング C　
　　※フェア終了後RPA戻し　リプレイス配信の為手動継続
（月12）納品対策","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

2/1(土)12:00～18:00
渋谷ヒカリエにて女性のための転職イベント開催！
最大1,500円分のQUOカード他をプレゼント！
https://woman-type.jp/s/event/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_250201

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",24/12/19(木)18時配信~,25/1/31(金),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
176,IT・Web（経験）大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集◆
https://woman-type.jp/s/itweb/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_2 

┗━━━━━━━━━━━━━━━┛",2025/1/7(Tue),2025/2/3(Mon),終了,リード文の下にいれる,
177,"アパレル コスメ大特集
神奈川大特集","（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆キレイもキャリアも手に入れるアパレル･コスメ･美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_6
 
◆愛される街！神奈川県の仕事特集◆
https://woman-type.jp/s/kanagawa/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_7

┗━━━━━━━━━━━━━━━┛",2025/2/4(Tue),2025/3/3(Mon),終了,リード文の下にいれる,
178,WTイベント,"エンジニア限定_単独求人メルマガ
未経験エンジニア希望向け_首都圏","┏…『Woman type』よりお知らせ！プログラミング体験ができるイベントを2/22(土)に開催…┓

★参加無料
★女性向けプログラミングスクールの有料プログラムを体験するチャンス
★赤坂でオフライン開催！講師や未経験スタートした先輩たちに直接質問できます

エンジニアの仕事に興味はあるけど、知識ゼロで不安…という方はぜひ体験してみてください！

▼詳細はこちらから
https://woman-type.jp/wt/feature/37968/?utm_source=adm&utm_medium=email&utm_campaign=uki_adm_273&routeway=91
┗………………………………………………………………┛
",2025/2/18(Tue),2025/2/18(Tue),終了,リード文の下にいれる,
179,オフィスワーク大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルをつけて長く働く！ねらい目のオフィスワーク特集◆
https://woman-type.jp/s/officework/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_8

┗━━━━━━━━━━━━━━━┛",2025/3/4(Tue),2025/3/31(Mon),終了,リード文の下にいれる,
180,ウキフェア,"（火金12）新着総合
（水8）★求人特集(35歳未満) A
（日9）応募ランキング C　
　　※フェア終了後RPA戻し
（月12）納品対策","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

4/19(土)12:00～18:00
渋谷ヒカリエにて女性のための転職イベント開催！
QUOカードなどがもらえるプレゼント企画も！
https://woman-type.jp/s/event/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_250419

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",25/3/7(金),25/4/18(金),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
181,IT・Web （経験）大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集◆
https://woman-type.jp/s/itweb/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_2 

┗━━━━━━━━━━━━━━━┛",2025/4/1(Tue),2025/5/12(Mon),終了,リード文の下にいれる,
182,WEPCP_生成AIを使うお仕事PR,(金11)今週の人気求人ランキング,"┏.+゜☆+.━━━━━━━━ ━.+゜☆+. ゜┓

◆未経験からスキルアップ！生成AIを使うお仕事特集
https://woman-type.jp/job-job-keyword/25036/f/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_15

┗.+゜☆+. ゜━ ━━━━━━━━.+゜☆+.┛",2025/5/16(Fri),2025/5/16(Fri),終了,リード文の下にいれる,
183,ウキフェア,"（火金12）新着総合
（水8）★求人特集(35歳未満) A
（日9）応募ランキング C　
　　※フェア終了後RPA戻し
（月12）納品対策","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

7/5(土)12:00～18:00
東京国際フォーラムにて女性のための転職イベント開催！
QUOカードなどがもらえるプレゼント企画も！
https://woman-type.jp/s/event/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_250705

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",25/5/16(金),25/7/4(金),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
184,"関西大特集
アパレルコスメ大特集","（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆仕事もプライベートも充実！大阪エリアで働きたい人のための関西大特集◆
https://woman-type.jp/s/kansai/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_5

◆キレイもキャリアも手に入れる アパレル・コスメ・美容業界大特集◆
https://woman-type.jp/s/fashion/sp20160927/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_6

┗━━━━━━━━━━━━━━━┛",2025/5/13(Tue),2025/6/9(Mon),終了,リード文の下にいれる,
185,オンもオフも輝ける！営業大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_4

┗━━━━━━━━━━━━━━━┛",2025/6/10(Tue),2025/7/7(Mon),終了,リード文の下にいれる,
186,WTイベント,"エンジニア限定_単独求人メルマガ
超好条件_エンジニア","┏…『Woman type』よりオンラインイベントのお知らせ！初心者歓迎のプログラミング体験イベントを6/18(水)に開催…┓

★未経験から「リモートワークで稼ぐ力」を付けよう！参加無料
★女性向けプログラミングスクールのプログラムを体験できる！
★地方出身で「リモートワークで年収アップ」を実現した先輩たちによるトークイベントもあり◎
★オンラインなので全国から参加可能

「地元で働いているけれど、リモートワークでもう少し年収アップが望める仕事にキャリアチェンジしたい…」
「エンジニアの仕事に興味はあるけれど、実際どんな仕事なんだろう？」
「IT企業への応募を検討する前に、向いているかどうか確かめたい」

そんな方は、ぜひお気軽にエントリーください！
実際にお仕事体験をしてみるチャンスです。

▼詳細はこちらから
https://woman-type.jp/wt/feature/40265/?utm_source=email&utm_medium=wt&utm_campaign=185&routeway=91

＜本件に関するお問い合わせ先＞
Woman type編集部：wtinfo@type.jp

┗………………………………………………………………┛",2025/6/12(Thu),2025/6/16(Mon),終了,リード文の下にいれる,
187,"IT・Web （経験）大特集
販売サービス大特集","（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集◆
https://woman-type.jp/s/itweb/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_2

◆未経験でもチャレンジ可　実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_3 

┗━━━━━━━━━━━━━━━┛",2025/7/8(Tue),2025/8/4(Mon),終了,リード文の下にいれる,
188,WTイベント,（月12）★納品対策,"┏…『Woman type』より無料イベントのお知らせ！妊活中の転職Q＆Aセミナー7/30(水)に開催…┓

★妊活中でも転職を諦めたくない！
★不妊治療と両立して働きやすい仕事・職場を見つけたい
★出産後も長く働ける仕事・職場を見つけたい
…etc

妊活と両立しながら転職を成功させるための具体的な方法を、
キャリアコンサルタントと企業の採用担当者が解説します。

妊活中のキャリアプランニングの考え方や、
ライフステージの変化があっても自分らしく長く働き続けていくための秘訣を知りたい方は
ぜひお気軽にエントリーください！


▼詳細はこちらから
https://woman-type.jp/wt/feature/40934/?utm_source=email&utm_medium=wt&utm_campaign=188

＜本件に関するお問い合わせ先＞
Woman type編集部：wtinfo@type.jp

┗………………………………………………………………┛",2025/7/21(Mon),2025/7/28(Mon),終了,"リード文の下にいれる
※他のPRも差し込んでいる場合は
こちらのPRを最下部にする",
189,"神奈川大特集
UIターン大特集","（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆愛される街！神奈川県の仕事特集◆
https://woman-type.jp/s/kanagawa/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_7

◆地方で働こう！Uターン、Iターン歓迎企業特集◆
https://woman-type.jp/s/region?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_16

┗━━━━━━━━━━━━━━━┛",2025/8/5(Tue),2025/9/8(Mon),終了,リード文の下にいれる,
190,AP依頼,（金17）☆Womantype[全],"┏━━━ PR★ポジウィル主催の無料企画 ━━━┓

～キャリアに悩む20～30代女性におすすめ～
転職ありきではなく、「どう生きたいか？」からキャリアを考える
キャリアのパーソナルトレーニングを提供中！
自己分析～キャリア設計まで、専属トレーナーがマンツーマンで伴走。

まずは無料体験セッションからどうぞ！
▼詳細・無料体験のご予約はこちら▼
https://posiwill.jp/career/lp/light/?utm_medium=alliance&utm_source=cdc&utm_campaign=cl

┗━━━━━━━━━━━━━━━━━━━━━┛
",2025/8/22(Fri),2025/9/5(Fri),終了,"リード文の下にいれる
ポジウィルさんPR",
191,ウキフェア,"（火金12）新着総合
（水8）★求人特集(35歳未満) A
（日9）応募ランキング C　
　　※フェア終了後RPA戻し
（月12）納品対策","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

10/18(土)12:00～18:00
渋谷ヒカリエにて女性のための転職イベント開催！
ギフト券がもらえるプレゼント企画も実施！
https://woman-type.jp/s/event/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_251018

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",25/8/29(金),25/10/17(金),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
192,介護・保育・医療・福祉大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆手に職つけて社会に貢献！介護・保育・医療・福祉業界に関わる仕事特集◆
https://woman-type.jp/s/kaigosp/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_10

┗━━━━━━━━━━━━━━━┛",25/9/9(火),25/10/6(月),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
193,"IT・Web （経験）大特集
販売サービス大特集","（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆スキルアップしながら長く働く！エンジニア経験者のためのIT・Web業界大特集◆
https://woman-type.jp/s/itweb/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_2

◆未経験でもチャレンジ可　実は魅力がたくさん！「サービス・販売系職種」大特集◆
https://woman-type.jp/s/service/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_3 

┗━━━━━━━━━━━━━━━┛",25/10/7(火),25/11/3(月),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
194,ウキフェア大阪,"（火金12）新着総合_西日本
（木14）関西‗リモート×フレックス
（月19）関西‗超好条件_事務
（月14）☆関西","┏━━.+゜☆+.女の転職type 転職イベント━━━┓

11/29(土)12:00～18:00
グランフロント大阪にて女性のための転職イベント開催！
ギフト券がもらえるプレゼント企画も実施！
https://woman-type.jp/s/event/osaka/?utm_source=fair_woman-type&utm_medium=email&utm_campaign=inner_wr_mail_boss_pr_251129 

┗━━━━━━━━━━━━━━━ .+゜☆+.━━┛",25/10/25(土),25/11/29(土),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
195,営業大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆オンもオフも輝ける！営業大特集◆
https://woman-type.jp/s/salessp/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_4

┗━━━━━━━━━━━━━━━┛",25/11/4(火),25/12/1(月),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
196, Woman type Meets! 告知,"（木16）エンジニア限定_単独求人メルマガ
（月19）超好条件_エンジニア","┏…『Woman type』より「リモートワークで自由な働き方を叶える」ためのオンラインイベントのお知らせ！★参加無料★…┓

★知識ゼロでOK！女性向けプログラミングスクールのプログラムを体験できる！
★地方出身で「リモートワークで年収アップ」を実現した先輩たちによるトークイベントもあり◎
★オンラインなので全国から参加可能

「地元で働いているけれど、リモートワークで自由度高く働ける仕事にキャリアチェンジしたい…」
「地元で働きながら年収アップできる仕事に転職したい！」
「エンジニアの仕事に興味はあるけれど、実際どんな仕事なんだろう？」
「IT企業への応募を検討する前に、向いているかどうか確かめたい」

そんな方は、ぜひお気軽にエントリーください！
実際にお仕事体験をしてみるチャンスです。

▼詳細はこちらから
https://woman-type.jp/wt/feature/42521/?utm_source=email&utm_medium=wt&utm_campaign=314&routeway=91

＜本件に関するお問い合わせ先＞
Woman type編集部：wtinfo@type.jp

┗………………………………………………………………┛",25/11/6(火),25/11/17(火),終了,リード文の下にいれる,
197,関西大特集,"（火金12）新着総合
（月12）納品対策","┏━━━★期間限定特集★━━━━┓

◆仕事もプライベートも充実！大阪エリアで働きたい人のための関西大特集◆
https://woman-type.jp/s/kansai/?utm_source=adm&utm_medium=email&utm_campaign=adm_pr_5

┗━━━━━━━━━━━━━━━┛",25/12/2(火),26/1/5(月),終了,"リード文の下に入れる

※他のPRも差し込んでいる場合は
こちらのPRを最上部にする",
